Dates,IHG LN Equity,DNLM LN Equity,GRG LN Equity,TRIG LN Equity,RDSB LN Equity,INVP LN Equity,PRU LN Equity,LLOY LN Equity,SN/ LN Equity,GSK LN Equity,AZN LN Equity,SMIN LN Equity,KNOS LN Equity,FSKY LN Equity,INRG LN Equity,RTWO LN Equity,MNDI LN Equity,GLEN LN Equity,CRH LN Equity,GLRE LN Equity,BLND LN Equity,UTG LN Equity,PNN LN Equity
9/22/2020,3906,1270,1119,127.141,996.1,131,1074,24.29,1451.5,1479.6,8580,1413.5,981,2518,742.5,62.375,1518.5,172.1,2790,29.715,330.7,848,1529.249
9/23/2020,4001,1295,1165,127.539,995.2,130.05,1106,24.585,1484,1493.4,8812,1432,1016,2547,760.25,62.93,1567,170.86,2801,29.48,330.2,842,1570.499
9/24/2020,3968,1282,1130,129.528,978.1,127.05,1103.5,24.58,1460,1456.4,8559,1324.5,1006,2480.25,742.25,61.165,1545,168.96,2780,29.095,324.5,832.5,1559.999
9/25/2020,3932,1320,1150,131.12,972.1,127.5,1108.5,24.72,1452,1474.4,8576,1304.5,1020,2512.25,757,61.76,1557.5,167.38,2802,29.18,322,842,1586.249
9/28/2020,4140,1345,1219,134.701,977.4,138,1146.5,26.595,1479.5,1463.2,8509,1346,1000,2539,783.25,63.8,1601.5,164.58,2857,30.19,345.7,865,1577.999
9/29/2020,4102,1367,1120,134.9,956.5,138.6,1136,26.13,1493,1455.6,8539,1376,995,2549.75,802.5,63.31,1657,162.16,2855,29.745,331.1,832.5,1565.249
9/30/2020,4094,1397,1175,135.895,940.2,142.8,1109,26.355,1516.5,1452,8457,1375,993,2562.5,824.25,64.355,1639.5,160.96,2796,30.11,337.4,839,1546.499
10/01/2020,3980,1441,1222,135.895,907.3,143.95,1107.5,26.53,1536.5,1443.8,8479,1406.5,969,2577.5,843.5,64.065,1692,159.38,2790,30.36,340.4,867.5,1592.999
10/02/2020,4002,1503,1262,136.492,904,149.95,1128,27.195,1524.5,1444.6,8431,1404,974,2569.25,848.5,64.775,1717.5,161.76,2800,30.66,349.2,869.5,1606.499
10/05/2020,4078,1455,1253,137.288,926.1,153.9,1135.5,26.985,1532,1449.8,8409,1403,978,2558.5,867.25,66.375,1690,163.72,2864,31.14,352.5,879.5,1589.999
10/06/2020,4307,1506,1317,138.482,953.6,157.6,1158,27.955,1519.5,1430,8317,1396.5,988,2592,889.75,67.62,1668,164.86,2936,31.305,369,904,1547.999
10/07/2020,4352,1547,1360,138.88,936.9,160.5,1146.5,27.9,1520,1416,8295,1416.5,1010,2625.75,931.25,67.85,1683,169.4,3025,30.995,360.1,880.5,1529.999
10/08/2020,4281,1561,1397,137.089,959.1,155,1154.5,28.375,1521.5,1425.4,8371,1427,1024,2664,949.5,68.63,1639,169.78,3057,31.305,367.3,863,1540.499
10/09/2020,4339,1538,1407,135.895,978.9,156.05,1163,28.225,1526,1447.2,8424,1442.5,1038,2692.5,942.25,68.905,1657.5,173,3038,31.32,378.6,872.5,1520.999
10/12/2020,4277,1530,1408,136.492,956.8,157.9,1165.5,28.07,1532,1431.4,8470,1399,1028,2717,915,69.69,1689.5,171.28,3037,31.395,372.9,892.5,1544.999
10/13/2020,4261,1527,1362,133.906,951.6,150.9,1138.5,26.87,1527,1439.4,8456,1386.5,1020,2767.75,928.5,69.02,1666.5,168.34,2986,30.92,355.6,873,1552.499
10/14/2020,4229,1557,1301,133.309,960.7,151.3,1120,26.96,1508.5,1425.6,8190,1389.5,1338,2741.75,936.5,69.305,1667.5,168.78,2943,30.75,361,862.5,1527.749
10/15/2020,4098,1482,1314,134.304,926.1,153.2,1078.5,26.59,1483.5,1376.2,8120,1362,1310,2696.75,919.75,68.365,1591,162.72,2895,30.705,362.5,861.5,1525.499
10/16/2020,4174,1442,1284,134.304,946.8,153.5,1098.5,27.01,1505.5,1410,8217,1399,1318,2727,930.25,69.445,1621.5,163.56,2970,30.55,357,844,1541.249
10/19/2020,4180,1440,1318,134.701,939.4,152.35,1098.5,27.12,1490.5,1396.6,8109,1380.5,1300,2719.25,926,69.335,1607.5,165.42,2940,30.315,364.5,858,1508.999
10/20/2020,4330,1458,1344,134.701,932.4,154.65,1093.5,27.175,1486,1380.2,8066,1409.5,1280,2680.5,937.75,68.765,1602.5,168.46,2927,30.31,370.9,884,1498.499
10/21/2020,4236,1480,1332,134.304,908.5,156.5,1063,27.165,1439.5,1353.6,7920,1362,1278,2610.75,902.5,68.12,1584,167.16,2852,30.165,368.2,877.5,1499.999
10/22/2020,4263,1481,1334,134.503,914.6,160.75,1074.5,27.915,1456,1333.2,7955,1368,1302,2597.75,873.5,68.445,1591,165.06,2810,30.35,365.8,884.5,1525.499
10/23/2020,4201,1487,1369,134.701,940.6,166.85,1079,29.285,1456.5,1343.8,7943,1423.5,1368,2612,888,69.195,1593.5,167.48,2845,30.525,380.2,886,1534.499
10/26/2020,4033,1453,1388,134.503,915.8,163.35,1055.5,29.05,1436.5,1344.8,8077,1430,1270,2562.25,872,67.705,1561.5,166.24,2771,29.99,377,869,1546.499
10/27/2020,3938,1395,1354,134.304,888.2,156.8,1000.5,28.325,1426,1361,8056,1390.5,1238,2566.5,865.75,67.54,1532.5,160.54,2701,29.855,365,854.5,1560.749
